text,priority,category
Reminder: Watch webinar on React,medium,Learning
Optional: read industry newsletter,low,Work
Take online course module,medium,Learning
Take vitamins (important),medium,Health
Reminder: Email follow-up with marketing team,medium,Work
Practice presentation (important),medium,Learning
Reminder: Watch webinar on React,medium,Learning
Call mom this weekend,medium,Personal
Pick up prescription today,high,Health
Fix leaking tap,medium,Personal
Reminder: Eventually read that book,low,Learning
Renew passport before trip,high,Personal
Do coding challenge,medium,Learning
Update budget spreadsheet (important),medium,Finance
Complete certification before expiry,high,Learning
Draft Q2 goals,medium,Work
Reminder: Meal prep for the week,medium,Health
Renew passport before trip,high,Personal
Eventually read that book,low,Learning
Plan next sprint backlog,medium,Work
Yoga session (important),medium,Health
Update project documentation,medium,Work
Pay electricity bill before disconnect,high,Finance
Reminder: Stretch before bed,medium,Health
Finish course project deadline,high,Learning
Sort mail,medium,Personal
Plan family dinner,medium,Personal
Code review for PR #234 (important),medium,Work
Finalize contract with vendor today,high,Work
Vet appointment for dog tomorrow,high,Personal
Take medicine with breakfast,high,Health
Stretch before bed,medium,Health
Practice presentation,medium,Learning
Organize desk and files,medium,Work
Urgent: fix production bug,high,Work
Reminder: Check bank statement,medium,Finance
Reminder: Call dentist for urgent tooth pain,high,Health
Meal prep for the week,medium,Health
Reminder: Fix leaking tap,medium,Personal
Finish course project deadline,high,Learning
Reminder: Renew passport before trip,high,Personal
Draft Q2 goals,medium,Work
Review monthly budget,medium,Finance
Reminder: Pick up kids from school at 3pm,high,Personal
Schedule 1:1 with manager,medium,Work
Reminder: Nice to have: new curtains,low,Personal
Pay electricity bill before disconnect (important),high,Finance
Maybe learn guitar,low,Learning
Write meeting notes from standup,medium,Work
Optional: try new smoothie recipe,low,Health
Update budget spreadsheet,medium,Finance
Optional: try new smoothie recipe,low,Health
Book haircut,medium,Personal
Renew passport before trip (important),high,Personal
Pick up prescription today,high,Health
Pay rent today,high,Personal
Update project documentation,medium,Work
Urgent: fix production bug,high,Work
Eventually declutter attic,low,Personal
Study for exam next week,high,Learning
Reminder: Code review for PR #234,medium,Work
Release hotfix to production,high,Work
Call plumber for quote,medium,Other
File taxes by deadline,high,Finance
Pay credit card,medium,Finance
Eventually declutter attic,low,Personal
ASAP: respond to client email,high,Work
Renew passport before trip,high,Personal
Submit project proposal before deadline,high,Work
Reminder: Code review for PR #234,medium,Work
Practice presentation,medium,Learning
Check bank statement,medium,Finance
Research topic for essay,medium,Learning
Reminder: Transfer money to savings,medium,Finance
Pay credit card (important),medium,Finance
Call plumber for quote,medium,Other
Prepare client presentation for Monday,high,Work
File taxes by deadline,high,Finance
Critical: review merger documents,high,Work
Plan next sprint backlog,medium,Work
Update budget spreadsheet,medium,Finance
Maybe learn guitar,low,Learning
Reminder: Pick up kids from school at 3pm,high,Personal
Reminder: Schedule 1:1 with manager,medium,Work
Research topic for essay,medium,Learning
Call dentist for urgent tooth pain,high,Health
Doctor appointment tomorrow 10am (important),high,Health
Pay rent today,high,Personal
Optional: try new smoothie recipe,low,Health
Clean the garage,medium,Personal
Schedule 1:1 with manager,medium,Work
Organize desk and files,medium,Work
Pick up prescription today,high,Health
Emergency meeting prep with CEO,high,Work
Book haircut,medium,Personal
Reminder: Review monthly budget,medium,Finance
Check bank statement,medium,Finance
Emergency meeting prep with CEO,high,Work
Doctor appointment tomorrow 10am (important),high,Health
Drink 8 glasses of water,medium,Health
Call dentist for urgent tooth pain,high,Health
Emergency meeting prep with CEO,high,Work
Eventually read that book,low,Learning
Read chapter 5 of textbook,medium,Learning
Reminder: Evening walk,medium,Health
Review lecture notes,medium,Learning
Call plumber for quote,medium,Other
Eventually read that book,low,Learning
Emergency meeting prep with CEO,high,Work
Optional: try new smoothie recipe (important),low,Health
Maybe: explore new tool,low,Work
Research topic for essay (important),medium,Learning
Update project documentation,medium,Work
Finalize contract with vendor today,high,Work
Reminder: Critical: review merger documents,high,Work
Reminder: Renew passport before trip,high,Personal
Reminder: Call plumber for quote,medium,Other
Reminder: Schedule annual checkup,medium,Health
Reminder: Review lecture notes,medium,Learning
Someday: look into investments,low,Finance
Organize desk and files,medium,Work
Vote in local election,high,Other
Plan next sprint backlog,medium,Work
Reminder: 30 min run,medium,Health
Organize closet,medium,Personal
Research topic for essay,medium,Learning
Call plumber for quote,medium,Other
Vet appointment for dog tomorrow,high,Personal
Submit project proposal before deadline,high,Work
Someday: join swimming class,low,Health
Clean the garage (important),medium,Personal
Renew passport before trip,high,Personal
Read chapter 5 of textbook,medium,Learning
Schedule annual checkup (important),medium,Health
Reminder: Draft Q2 goals,medium,Work
Email follow-up with marketing team,medium,Work
Review monthly budget,medium,Finance
Test new feature on staging,medium,Work
Reminder: Complete certification before expiry,high,Learning
Eventually read that book,low,Learning
Plan family dinner (important),medium,Personal
Schedule annual checkup,medium,Health
Practice presentation,medium,Learning
Fix leaking tap,medium,Personal
Meal prep for the week,medium,Health
Study for exam next week (important),high,Learning
Reminder: Sort mail,medium,Personal
Someday: update LinkedIn profile,low,Work
Complete certification before expiry,high,Learning
Nice to have: new curtains,low,Personal
Clean the garage,medium,Personal
Eventually declutter attic,low,Personal
Someday: join swimming class,low,Health
Transfer money to savings,medium,Finance
Finish course project deadline,high,Learning
30 min run,medium,Health
Call dentist for urgent tooth pain,high,Health
Call plumber for quote,medium,Other
Yoga session,medium,Health
Reminder: Email follow-up with marketing team,medium,Work
Call mom this weekend,medium,Personal
Pick up prescription today,high,Health
Pay electricity bill before disconnect,high,Finance
Take medicine with breakfast,high,Health
Stretch before bed,medium,Health
Vote in local election,high,Other
Fix leaking tap,medium,Personal
Gym workout,medium,Health
Call mom this weekend,medium,Personal
Research topic for essay,medium,Learning
Reminder: Someday: look into investments,low,Finance
Reminder: Plan family dinner,medium,Personal
Submit project proposal before deadline,high,Work
Water plants,medium,Personal
Complete Python tutorial,medium,Learning
Maybe learn guitar,low,Learning
Reminder: Buy groceries,medium,Personal
Reminder: Write meeting notes from standup,medium,Work
Finish quarterly report by Friday,high,Work
Someday: look into investments,low,Finance
Reminder: Organize closet,medium,Personal
Update budget spreadsheet,medium,Finance
Fix leaking tap,medium,Personal
Update project documentation,medium,Work
Read chapter 5 of textbook,medium,Learning
Weekly team sync on Zoom (important),medium,Work
Maybe learn guitar (important),low,Learning
Take medicine with breakfast,high,Health
Review lecture notes,medium,Learning
Pick up prescription today,high,Health
Renew car registration,medium,Other
Clean the garage,medium,Personal
Optional: read industry newsletter,low,Work
Research topic for essay,medium,Learning
Watch webinar on React,medium,Learning
Call mom this weekend,medium,Personal
Plan family dinner,medium,Personal
Reminder: Meal prep for the week,medium,Health
Complete certification before expiry,high,Learning
Critical: review merger documents,high,Work
Critical: review merger documents,high,Work
Study for exam next week,high,Learning
Water plants,medium,Personal
Invoice client for project,medium,Finance
Reminder: Finalize contract with vendor today,high,Work
Complete Python tutorial (important),medium,Learning
File taxes by deadline,high,Finance
Draft Q2 goals,medium,Work
Donate old clothes,low,Other
Reminder: Drink 8 glasses of water,medium,Health
Reminder: Pick up prescription today,high,Health
Reminder: Call mom this weekend,medium,Personal
Maybe: explore new tool,low,Work
Review monthly budget,medium,Finance
Draft Q2 goals (important),medium,Work
Pay credit card,medium,Finance
Reminder: Code review for PR #234,medium,Work
Invoice client for project,medium,Finance
Finish quarterly report by Friday,high,Work
Someday: join swimming class,low,Health
Nice to have: new curtains,low,Personal
Research topic for essay,medium,Learning
Vote in local election,high,Other
Update project documentation,medium,Work
Call dentist for urgent tooth pain,high,Health
Read chapter 5 of textbook,medium,Learning
Emergency meeting prep with CEO,high,Work
Update budget spreadsheet,medium,Finance
Reminder: Watch webinar on React,medium,Learning
Schedule annual checkup,medium,Health
Reminder: Someday: update LinkedIn profile,low,Work
Take online course module,medium,Learning
Reminder: Schedule annual checkup,medium,Health
File taxes by deadline,high,Finance
Reminder: Optional: read industry newsletter,low,Work
Reminder: Optional: try new smoothie recipe,low,Health
Write meeting notes from standup,medium,Work
Call mom this weekend (important),medium,Personal
30 min run,medium,Health
Take online course module,medium,Learning
Gym workout,medium,Health
Evening walk,medium,Health
ASAP: respond to client email,high,Work
Return package to post office,medium,Personal
Renew car registration,medium,Other
Nice to have: new curtains,low,Personal
Eventually declutter attic,low,Personal
Reminder: Plan next sprint backlog,medium,Work
Reminder: Code review for PR #234,medium,Work
Invoice client for project,medium,Finance
Practice Spanish 20 min,medium,Learning
Reminder: Donate old clothes,low,Other
Optional: read industry newsletter (important),low,Work
Do coding challenge,medium,Learning
Reminder: Update project documentation,medium,Work
ASAP: respond to client email,high,Work
Eventually declutter attic,low,Personal
Check bank statement,medium,Finance
Organize closet (important),medium,Personal
Clean the garage,medium,Personal
Book haircut,medium,Personal
Yoga session,medium,Health
Read chapter 5 of textbook,medium,Learning
Complete Python tutorial,medium,Learning
Check bank statement,medium,Finance
Schedule 1:1 with manager,medium,Work
Draft Q2 goals,medium,Work
Optional: read industry newsletter (important),low,Work
Someday: update LinkedIn profile,low,Work
Reminder: Return package to post office,medium,Personal
Optional: try new smoothie recipe,low,Health
Release hotfix to production,high,Work
Pay credit card,medium,Finance
Doctor appointment tomorrow 10am,high,Health
Reminder: 30 min run,medium,Health
Plan family dinner,medium,Personal
Book haircut,medium,Personal
File taxes by deadline,high,Finance
Transfer money to savings,medium,Finance
Read chapter 5 of textbook,medium,Learning
Reminder: Fix leaking tap,medium,Personal
Pay credit card,medium,Finance
Emergency meeting prep with CEO,high,Work
Weekly team sync on Zoom (important),medium,Work
Plan vacation,low,Other
Transfer money to savings,medium,Finance
Prepare client presentation for Monday,high,Work
Gym workout,medium,Health
Update budget spreadsheet,medium,Finance
Complete Python tutorial,medium,Learning
Plan family dinner (important),medium,Personal
Reminder: Fix leaking tap,medium,Personal
Write meeting notes from standup,medium,Work
Reminder: Book haircut,medium,Personal
Maybe: explore new tool,low,Work
Take online course module,medium,Learning
Reminder: Plan vacation,low,Other
Weekly team sync on Zoom,medium,Work
Reminder: Urgent: fix overdraft,high,Finance
Transfer money to savings,medium,Finance
Read chapter 5 of textbook,medium,Learning
Evening walk,medium,Health
Pay credit card (important),medium,Finance
Plan vacation,low,Other
Pay rent today,high,Personal
Yoga session,medium,Health
Transfer money to savings,medium,Finance
Test new feature on staging,medium,Work
Reminder: Prepare client presentation for Monday,high,Work
Urgent: fix overdraft (important),high,Finance
Reminder: Check bank statement,medium,Finance
Meal prep for the week (important),medium,Health
Vet appointment for dog tomorrow,high,Personal
Review monthly budget,medium,Finance
Reminder: Write meeting notes from standup,medium,Work
Buy groceries,medium,Personal
Finish quarterly report by Friday,high,Work
Fix leaking tap,medium,Personal
Reminder: Pay rent today,high,Personal
Weekly team sync on Zoom,medium,Work
Review lecture notes,medium,Learning
Read chapter 5 of textbook,medium,Learning
Check bank statement,medium,Finance
Plan next sprint backlog,medium,Work
Prepare client presentation for Monday,high,Work
Finish course project deadline,high,Learning
Complete certification before expiry,high,Learning
Update project documentation,medium,Work
Submit project proposal before deadline,high,Work
Do coding challenge,medium,Learning
Do coding challenge,medium,Learning
Code review for PR #234,medium,Work
ASAP: respond to client email,high,Work
Call mom this weekend,medium,Personal
Clean the garage,medium,Personal
Emergency meeting prep with CEO,high,Work
Prepare client presentation for Monday,high,Work
Reminder: Vet appointment for dog tomorrow,high,Personal
Reminder: Submit project proposal before deadline,high,Work
Water plants,medium,Personal
Reminder: Return package to post office,medium,Personal
Pay electricity bill before disconnect,high,Finance
Pick up prescription today,high,Health
Stretch before bed,medium,Health
Finish quarterly report by Friday (important),high,Work
Optional: try new smoothie recipe,low,Health
Stretch before bed,medium,Health
Finish quarterly report by Friday,high,Work
Reminder: Read chapter 5 of textbook,medium,Learning
Schedule 1:1 with manager,medium,Work
Reminder: Someday: look into investments,low,Finance
Draft Q2 goals,medium,Work
Buy groceries,medium,Personal
Pay electricity bill before disconnect,high,Finance
Call plumber for quote,medium,Other
File taxes by deadline,high,Finance
Take medicine with breakfast,high,Health
Code review for PR #234,medium,Work
Renew passport before trip,high,Personal
Reminder: Maybe learn guitar,low,Learning
Clean the garage,medium,Personal
Review monthly budget,medium,Finance
Optional: read industry newsletter,low,Work
Finalize contract with vendor today,high,Work
Drink 8 glasses of water,medium,Health
Fix leaking tap,medium,Personal
Nice to have: new curtains,low,Personal
Update budget spreadsheet,medium,Finance
Evening walk (important),medium,Health
Complete Python tutorial,medium,Learning
Organize closet,medium,Personal
Do coding challenge,medium,Learning
Call dentist for urgent tooth pain,high,Health
Critical: review merger documents (important),high,Work
Write meeting notes from standup,medium,Work
Optional: read industry newsletter,low,Work
Organize desk and files,medium,Work
Cancel unused subscription,medium,Finance
Reminder: Review monthly budget,medium,Finance
Urgent: fix production bug,high,Work
Update project documentation,medium,Work
Reminder: Weekly team sync on Zoom,medium,Work
Weekly team sync on Zoom,medium,Work
Plan family dinner,medium,Personal
Reminder: Transfer money to savings,medium,Finance
Pay rent today,high,Personal
Optional: read industry newsletter,low,Work
Reminder: Test new feature on staging,medium,Work
Critical: review merger documents,high,Work
Pick up prescription today,high,Health
Check bank statement,medium,Finance
Test new feature on staging,medium,Work
Reminder: Organize desk and files,medium,Work
Weekly team sync on Zoom,medium,Work
ASAP: respond to client email,high,Work
Do coding challenge,medium,Learning
Organize desk and files,medium,Work
Reminder: Complete certification before expiry,high,Learning
Evening walk,medium,Health
Clean the garage,medium,Personal
Do coding challenge,medium,Learning
Reminder: Renew car registration,medium,Other
Invoice client for project,medium,Finance
Research topic for essay,medium,Learning
Reminder: Check bank statement,medium,Finance
Reminder: Email follow-up with marketing team,medium,Work
Practice Spanish 20 min (important),medium,Learning
Book haircut,medium,Personal
Update budget spreadsheet (important),medium,Finance
Practice presentation (important),medium,Learning
Reminder: Pay electricity bill before disconnect,high,Finance
Submit project proposal before deadline,high,Work
Reminder: Invoice client for project,medium,Finance
ASAP: respond to client email,high,Work
Donate old clothes,low,Other
Submit expenses,medium,Finance
Release hotfix to production,high,Work
Eventually read that book,low,Learning
Eventually read that book,low,Learning
Reminder: Urgent: fix production bug,high,Work
Pick up kids from school at 3pm,high,Personal
Vet appointment for dog tomorrow,high,Personal
Evening walk,medium,Health
Schedule annual checkup,medium,Health
Reminder: Yoga session,medium,Health
Call mom this weekend,medium,Personal
Watch webinar on React,medium,Learning
Optional: read industry newsletter,low,Work
Clean the garage,medium,Personal
Write meeting notes from standup (important),medium,Work
Gym workout,medium,Health
Fix leaking tap,medium,Personal
Plan vacation,low,Other
Reminder: Complete Python tutorial,medium,Learning
Clean the garage,medium,Personal
Organize desk and files (important),medium,Work
Evening walk,medium,Health
ASAP: respond to client email (important),high,Work
Study for exam next week,high,Learning
Fix leaking tap,medium,Personal
Update budget spreadsheet,medium,Finance
Schedule 1:1 with manager,medium,Work
Clean the garage,medium,Personal
Call mom this weekend,medium,Personal
Reminder: Buy groceries,medium,Personal
Practice presentation,medium,Learning
Reminder: File taxes by deadline,high,Finance
Reminder: Test new feature on staging,medium,Work
Donate old clothes (important),low,Other
Buy groceries,medium,Personal
Pay credit card,medium,Finance
Clean the garage,medium,Personal
Code review for PR #234 (important),medium,Work
Finish quarterly report by Friday,high,Work
30 min run,medium,Health
Reminder: Release hotfix to production,high,Work
Study for exam next week,high,Learning
Reminder: Pick up prescription today,high,Health
Reminder: ASAP: respond to client email,high,Work
Reminder: Nice to have: new curtains,low,Personal
Invoice client for project,medium,Finance
Weekly team sync on Zoom,medium,Work
Watch webinar on React,medium,Learning
Take medicine with breakfast (important),high,Health
Update project documentation,medium,Work
Watch webinar on React,medium,Learning
Finish course project deadline,high,Learning
Update budget spreadsheet,medium,Finance
Transfer money to savings,medium,Finance
Water plants (important),medium,Personal
Submit expenses,medium,Finance
Maybe learn guitar,low,Learning
Watch webinar on React,medium,Learning
Submit project proposal before deadline,high,Work
Plan next sprint backlog,medium,Work
Schedule 1:1 with manager,medium,Work
Draft Q2 goals,medium,Work
Complete Python tutorial,medium,Learning
ASAP: respond to client email (important),high,Work
Reminder: Water plants,medium,Personal
Donate old clothes,low,Other
Return package to post office,medium,Personal
Transfer money to savings,medium,Finance
Reminder: Weekly team sync on Zoom,medium,Work
Update project documentation,medium,Work
Reminder: Pick up prescription today,high,Health
Plan next sprint backlog,medium,Work
Someday: update LinkedIn profile,low,Work
Invoice client for project,medium,Finance
Pick up kids from school at 3pm,high,Personal
Yoga session,medium,Health
Fix leaking tap,medium,Personal
Renew car registration,medium,Other
Code review for PR #234,medium,Work
Update project documentation,medium,Work
Reminder: Pay electricity bill before disconnect,high,Finance
Submit project proposal before deadline,high,Work
Take online course module,medium,Learning
Maybe learn guitar,low,Learning
Call dentist for urgent tooth pain,high,Health
